hour_local,KCBM_mean,KCBM_std,KCBM_min,KCBM_max,KCBM_p05,KCBM_p25,KCBM_p75,KCBM_p95,KDLF_mean,KDLF_std,KDLF_min,KDLF_max,KDLF_p05,KDLF_p25,KDLF_p75,KDLF_p95,KEND_mean,KEND_std,KEND_min,KEND_max,KEND_p05,KEND_p25,KEND_p75,KEND_p95,KRND_mean,KRND_std,KRND_min,KRND_max,KRND_p05,KRND_p25,KRND_p75,KRND_p95
0,74.53886010362694,2.9427070753011644,63.0,84.0,70.0,73.0,77.0,79.0,82.41087613293051,5.100837972132013,70.0,93.0,75.0,78.0,87.0,90.0,75.15745856353591,5.319182049745406,59.0,89.0,67.0,72.0,79.0,84.0,78.10602409638554,3.2672193187346177,70.0,89.0,73.0,76.0,80.0,83.29999999999995
1,73.82338308457712,3.277087463267905,62.0,84.0,68.0,72.0,76.0,79.0,81.27083333333333,4.6828853736650045,69.0,92.0,74.0,77.0,85.0,88.0,74.06459948320413,5.060101222881102,58.0,87.0,66.3,70.0,78.0,82.69999999999999,77.47587719298245,2.9973375178438566,69.0,88.0,73.0,75.0,79.0,82.0
2,73.17381974248927,3.2458147082243527,61.0,82.0,67.0,72.0,75.0,77.0,80.29518072289157,4.215161918295913,68.0,91.0,74.0,77.0,83.0,87.0,73.01790281329923,5.021204953024147,57.0,86.0,65.0,70.0,76.0,81.0,76.90135396518376,2.9008048376030353,68.0,87.0,73.0,75.0,79.0,81.0
3,72.69351669941061,3.438488900020915,58.0,81.0,66.0,72.0,75.0,77.0,79.04545454545455,3.841323047566129,67.0,90.0,73.0,76.0,82.0,85.0,72.06649616368287,4.85699894145479,56.0,85.0,64.0,69.0,75.0,80.0,76.81929824561404,2.6541699523295903,67.0,85.0,72.45,75.0,79.0,81.0
4,72.37099811676083,3.160461326188958,59.0,81.0,66.0,71.0,74.0,77.0,77.93575418994413,3.4744051528713444,65.0,87.0,72.0,75.0,80.0,83.0,71.2877030162413,4.802209962668132,57.0,83.0,64.0,68.0,75.0,80.0,76.40487804878049,2.6365587351566875,67.0,84.0,72.0,75.0,79.0,81.0
5,72.38061041292639,3.235735322915541,57.0,81.0,66.0,72.0,74.0,77.0,77.03305785123968,3.0409740124107842,66.0,86.0,73.0,75.0,79.0,82.0,70.9504716981132,4.619815452205415,56.0,83.0,64.0,68.0,74.0,78.0,76.35319767441861,2.427155014219605,66.0,83.0,72.0,75.0,78.0,80.0
6,72.65886287625418,3.1384597644479015,56.0,81.0,66.85,72.0,75.0,77.0,76.10569105691057,2.8470417755428343,65.0,84.0,72.0,74.0,78.0,81.0,70.46650717703349,4.6130955031357725,54.0,82.0,63.0,68.0,73.0,78.0,76.12889518413597,2.4095762077707237,66.0,83.0,72.0,75.0,78.0,79.0
7,74.62610229276896,2.9533276692018458,62.0,83.0,70.0,73.0,77.0,79.0,76.44444444444444,2.8960105538178205,64.0,84.0,72.0,75.0,78.0,81.0,71.73015873015873,4.6990252927099965,57.0,82.0,64.0,68.0,75.0,79.0,76.34861111111111,2.413885023272377,67.0,85.0,72.0,75.0,78.0,80.0
8,76.96742671009773,3.7077909540444542,67.0,91.0,72.0,75.0,79.0,84.0,79.07692307692308,3.285745605535977,71.0,89.0,72.0,77.0,81.0,84.0,74.55844155844156,5.374742015353084,61.0,87.0,66.0,71.0,79.0,83.0,78.8078541374474,2.757695060391925,71.0,88.0,73.0,77.0,81.0,83.0
9,79.62956204379562,4.766542654323503,68.0,91.0,72.0,75.0,83.0,88.0,81.44266055045871,3.9080131394741002,72.0,94.0,73.0,79.0,84.0,87.0,77.54336734693878,6.280172744928548,61.0,91.0,66.55,73.0,82.0,88.0,81.52446675031368,3.5720813187411506,69.0,94.0,73.0,81.0,84.0,86.0
10,82.30265486725663,5.067495852566484,68.0,95.0,74.0,79.0,86.0,91.0,84.18568232662193,4.703206702771186,72.0,100.0,73.0,82.0,87.0,91.0,80.81167108753316,7.052166682148501,63.0,96.0,70.0,75.0,86.0,92.0,84.3013698630137,4.345646961139212,70.0,96.0,75.0,82.0,87.0,90.0
11,84.1595394736842,5.3271126894732586,70.0,97.0,73.0,81.0,88.0,92.0,87.06619385342789,5.3719798242802455,73.0,103.0,75.0,84.0,91.0,94.0,83.55840455840456,7.657405884231612,63.0,100.0,70.0,78.0,89.5,96.0,86.98761061946902,5.231674073083984,71.0,100.0,75.0,86.0,90.0,93.0
12,85.12993421052632,5.693537363161327,72.0,98.0,75.0,81.0,89.0,93.0,89.87857142857143,6.275840546515797,70.0,106.0,76.95,87.0,94.0,97.0,86.11699164345404,7.75589275897731,66.0,101.0,71.9,81.0,91.5,99.0,88.62820512820512,6.308509709446078,71.0,101.0,77.0,86.0,93.0,97.0
13,85.53697183098592,6.1180658249448845,72.0,100.0,75.0,81.0,90.0,95.0,92.6421052631579,6.756955768296763,71.0,107.0,77.0,90.0,97.0,100.0,87.94339622641509,8.26418703523771,68.0,104.0,72.0,83.0,94.0,100.0,90.21230158730158,7.54315401047619,71.0,104.0,75.0,87.0,95.0,99.0
14,85.98371335504886,5.9148163471191175,72.0,101.0,76.65,81.0,90.0,95.0,95.23008849557522,6.470823276246792,70.0,108.0,81.0,93.0,99.0,102.0,89.3249299719888,8.046268610259858,70.0,106.0,73.8,84.0,95.0,101.19999999999999,91.49266247379455,7.659127624185907,72.0,104.0,75.0,88.0,97.0,101.0
15,85.86042402826855,6.567818228305251,72.0,100.0,75.0,81.0,91.0,95.0,96.29006085192698,6.937514564281863,70.0,110.0,82.0,94.0,101.0,104.0,90.39488636363636,7.908326384126819,71.0,108.0,75.0,85.0,96.0,102.0,93.60730593607306,7.510855091986877,73.0,106.0,77.0,91.0,99.0,103.0
16,85.03896103896103,6.964084951804612,72.0,99.0,73.0,79.0,91.0,95.0,96.84368308351178,7.1812208702213045,72.0,109.0,81.0,95.0,102.0,104.0,90.24649859943978,8.131349398644428,71.0,108.0,73.8,85.0,96.0,102.0,93.11205073995772,8.13980870954156,72.0,107.0,77.0,89.0,99.0,104.0
17,83.69005847953217,6.458660503880504,72.0,98.0,73.0,78.0,89.0,94.0,95.43006263048017,8.546134595433536,73.0,110.0,75.0,92.0,101.0,104.0,90.15361445783132,7.141463469863277,70.0,104.0,77.0,85.0,95.0,101.44999999999999,92.3986013986014,8.479888130880102,72.0,106.0,75.4,87.0,99.0,103.0
18,81.9085239085239,5.607282291058184,70.0,95.0,73.0,78.0,86.0,92.0,93.68837209302326,9.10291352478857,74.0,109.0,75.0,88.0,100.0,104.0,88.47916666666667,6.727944434848435,72.0,102.0,77.0,84.0,93.0,100.0,90.55415617128463,8.512036285344633,72.0,106.0,75.0,84.0,97.0,101.19999999999999
19,79.56347438752783,4.3728160314085205,70.0,91.0,73.0,76.0,82.0,88.0,91.1413612565445,8.546363671198687,73.0,108.0,75.0,85.0,98.0,101.94999999999999,85.28173374613003,6.401514336831963,70.0,99.0,75.0,81.0,90.0,96.0,87.35245901639344,7.108461634797239,72.0,101.0,75.0,82.0,93.0,97.0
20,77.53376906318083,3.4635426809675125,67.0,89.0,73.0,75.0,80.0,83.0,88.13081395348837,7.006268199814703,72.0,101.0,75.0,83.0,94.0,98.0,81.41329479768787,6.239634614890141,67.0,97.0,71.0,77.0,86.0,91.0,83.92764857881137,5.850462574202315,72.0,97.0,74.3,79.0,88.5,92.0
21,76.68819599109132,3.0142324000484333,67.0,87.0,72.0,75.0,79.0,81.0,86.08761329305136,5.903378389327615,73.0,99.0,75.0,82.0,91.0,94.0,79.57925072046109,5.651888682531898,65.0,92.0,71.0,75.0,84.0,89.0,82.54641909814323,4.851364599040744,72.0,94.0,74.8,79.0,86.0,90.0
22,75.69099756690997,3.122599249920458,66.0,86.0,71.0,74.0,78.0,80.5,84.53432835820895,5.4507471398768725,73.0,97.0,75.0,80.0,89.0,93.0,77.15469613259668,5.6277254441489895,62.0,89.0,69.0,73.0,82.0,87.0,80.71774193548387,4.431376397260064,72.0,92.0,73.0,77.0,84.0,87.0
23,74.93622448979592,3.1098414907858336,55.0,84.0,70.0,73.0,77.0,79.0,83.32326283987915,5.380213715517747,71.0,96.0,75.0,79.0,88.0,91.0,75.89166666666667,5.463164826035785,60.0,89.0,68.0,72.0,80.0,85.0,79.36729222520107,3.6612916242663918,70.0,90.0,73.0,77.0,82.0,85.0
